activity,score
Activities of call centers,1
Activities of holding companies,3.0
Activities of membership organizations,1
Administration of financial markets,3.0
Administration/Clerical Services,1
Advertising and Marketing,1.0
Aerospace manufacturing and related technologies,3
Agriculture,1.0
Alcohol and Drug Abuse Counseling,3
All Others,2.0
"Amusement Parks, Circuses, Carnivals and Fortune Tellers",3
Animal and Poultry Farming,1.0
Art or Antique Dealer,3
Asset Management,3.0
Auction Houses,3
Bail and Bond Payment Providers,4.0
Ballet & Ballroom Institutions,3
"Bands, Orchestras, and Miscellaneous Entertainers",3.0
Basic chemicals manufacturing and trade (Non-Defense related),1
Brokerage - Mortgage and Loans,3.0
Brokerage - Others,3
Building and Industrial cleaning activities,1.0
Bullion / Commodity Traders,3
"Casinos, Gambling, Betting and Adult Entertainment",4.0
Central Banks,3
"Central Government â UAE, GCC or FATF Member State",1.0
Charities and Trade Unions (including association and clubs),3
Chemicals manufacturing and trade (Defense related) - Non Bahrain Government Entity,3.0
Chemicals manufacturing and trade (Defense related) - Bahrain Government Entity,1
Cigar Stores and Stands,3.0
"Cinemas (including Motion Picture, Video Tape, Theatrical Production and Distribution)",3
Civil Servants (including Police),2.0
"Commercial Banks (including Private, Public and Foreign Banks)",3
Commodity trading,3.0
"Communication (inc manufacturing, trade and repair of electronic, telecommunications equipment, parts)",2
Construction (including contracting),2.0
Credit Providers (Finance Companies),3
Crowd Funding / Peer to Peer Lending,3.0
Custodian,2
Dating and Escort Services,4.0
Defense equipment manufacturing and distribution (including arms and weapons) - Non Bahrain Government Entity,3
Defense equipment manufacturing and distribution (including arms and weapons) - Bahrain Government Entity,1.0
"Diamonds, Jewellery, Precious Stones and Metals Manufacturers and Dealers",3
E-Commerce and related service providers,3.0
Education,1
Electronic/ Digital Asset/ Crypto Trading Platform,3.0
"Electrical/Electronics industries (including manufacturing, trade, repair and installation)",2
"Embassies, Consulates and Diplomatic Mission",3.0
Engineering,1
"Entertainment, performing arts professionals and Event Management",2.0
Extraction of peat,1
Extraction of salt,1.0
Fashion,2
Fertility Clinics,3.0
Financial Services,2
Financial Advisors/Consultancy,3.0
Financial Leasing,3
Firearms and Ammunition (including Guns) - Shops & Clubs,4.0
Fishing/Fisheries,2
Foreign Governments,3.0
Funeral and related activities,1
General Trading,3.0
