profession,score
Accountant,3
Accounting Clerk,1
Accounting Manager,3
Actor,2
Administration Manager,1
Administrative Officer,1
Advertising Designer,1
Advertising Representative,1
Aged Care Services Manager,1
Agricultural Manager,1
Agricultural Mechanic,1
Agricultural Technician,1
Agriculture Engineer,2
Agriculture Labourer,1
Air Conditioning Assistant,1
Air Conditioning Mechanic,1
Air Freight Clerk,1
Air Traffic Controller,1
Aircarft Deport Operator,1
Aircraft Electrician,1
Aircraft Engine Mechanic,1
Aircraft Fuelling Operator,1
Airframe Mechanic,1
Airport Check-in Agent,3
Airport Director,3
All Vehicles Driver,1
Aluminium Fabricator,1
Anaesthetist,1
Aquaculture Production Manager,1
Aquaculture Rearing Technician,1
Arabic Coffee Maker,1
Arabic Food Cook,2
Architecture Draftsperson,1
Archivist,1
Area Manager,1
Artificial Flower Maker,1
Artist / Painters,3
Asphalt Roofer,1
Asphalt Spreader Driver,1
Assistant Midwife,1
Assistant Professor,1
Auditing Clerk,1
Auditor,3
Auto Body Repairer,1
Auto Electrician,1
Automotive Sales Representative,1
Babysitter,1
Baker,1
Bakery Sales Assistant,1
Bank Notes Counting Clerk,1
Bank Officer,2
Bank Teller,3
Banker,2
Banking Operations Manager,2
Barber,1
Bartender,1
Beautician,2
Beekeeper,1
Beverage Maker,1
Bicycle Assembler,1
Bicycle Mechanic,1
Biochemist,1
Biologist,1
Bird Breeder,1
Blacksmith,1
Blaster,1
Boatmaster,2
Boiler Operator,1
Bookbinder,1
Bookkeeper,3
Botanist,1
Brick Kiln Operator,1
Bricklayer,1
Bricklayer Assistant,1
Broadcasting Director,3
Broker,3
Brokerage Clerk,1
Building Caretaker,1
Building Labourer,1
Building Services Engineer,2
Building Surveyor,1
Bulldozer Driver,1
Bus Supervisor,1
Business Consultants,3
Business Service Manager,1
Business(Owner),3
Butcher,1
Cable and Rope Splicing Machine Operator,1
Cane Furniture Maker,1
Cantilever Crane Operator,1
Cardiologist,1
Cargo Supervisor,1
Carpenter,1
Carpentry Work Supervisor,1
Carpet Layer,1
Cartoonist,3
Cashier,3
Casting Machine Operator,1
Catering Manager,1
Ceiling Fixer,1
CEO,3
Chairman,3
Chairman of the Board,3
Chartered Accountant,3
Chemical Analyst,1
Chemical Engineer,2
Chemical Engineering Technician,1
Chemical Processing Plant Controller,1
Chemical Products Machine Operator,1
Chemical Technician,1
Chief Cashier,3
Chief Executive,3
Chief Financial Officer,3
Chief Fire Officer,1
Chief Operating Officer,3
Chief Technical In Charge,3
Chief Technology Officer,3
Child Care Services Manager,1
Chimney Sweeper,1
Chiropractor,1
Choreographer,2
Cinema Manager,1
Cinematographer,1
Circus Performer,3
Civil Engineer,2
Civil Engineer Labourer,1
Civil Registrar,2
Cleaners,1
Cleaning Supervisor,1
Clerks,1
Clinic Manager,1
Clown,3
Club Director,3
Coffee Shop Manager,1
College Dean,3
Commercial Sales Representative,1
Commodity Broker,3
Complementary Medicine Associate,1
Composer,2
Computer Engineer,2
Computer Network Analyst,1
Computer Network and Systems Technician,1
Computer Programmer,1
Computer Systems Manager,1
Concrete Machine Operator,1
Confectioner,1
Conference Supervisor,1
Construction Manager,1
Construction Safety Officer,1
Construction Supervisor,1
Consultant,3
Contracts Manager,1
Controller /Dept Head,3
Cook,1
Coppersmith,1
Corpse Washer,1
Court Clerk,1
Craftsmen,1
Crane Operator,1
Crane Operator Assistant,1
Credit Analyst,1
Credit Manager,2
Credit Officer,2
Critic,1
Curtain Fitter,1
Custom and Border Inspector,3
Customer Service Clerk,1
Customer Service Manager,1
Customs Clearance Agent,3
Cytologist,1
Dairy Products Maker,1
Dancer,1
Data Entry Clerk,1
Data Processing Supervisor,1
Database Designer,1
DCEO,3
Debt Collector,3
Deck Officer,2
Deckhand,1
Decorative Painter,3
Decorator,2
Defence Officer,3
Demolition Labourer,1
Dental Assistant,1
Dental Surgeon,1
Dental Technician,1
Dentist,1
Dermatologist,1
Die Maker,1
Dietician,1
Digger,1
Diplomat,3
Director,3
Disabled Care Specialist,3
Diver,1
Doctors,1
Domestic Helper,1
Domestic Housekeeper,1
Doorman,1
Dredger Driver,1
Dressmaker,1
Drill Operator,1
Drilling Supervisor,1
Driver,1
Driving Examiner,2
Driving Instructor,2
Economist,1
Editor in Chief,2
Education Affairs Director,3
Education Expert,1
Education Methods Specialist,1
Electrical Draftsperson,1
Electrical Engineer,2
Electrical Engineer Technician,1
Electrical Equipment Assembler,1
Electrical Mechanic,1
Electrical Powerline Installer,1
Electrician,1
Electrician Assistant,1
Electronic Draftsperson,1
Electronic Engineer,1
Electronic Equipment Assembler,1
Electronics Engineering Technician,1
Electronics Mechanic,1
Elevator Operator,1
Embroider,1
Emergency Ambulance Driver,1
Employment Agent,3
Engineers / Architects,2
Engraver,1
Environment Engineer,2
Environmental Protection Officer,1
Event Planner,1
Executive Secretary,2
Executive Vice President,3
Exhibition Designer,2
Factory Hand,1
Farm Labourer,1
Farm Manager,1
Farmer / Agriculturists,1
Fashion Designer,2
Fashion Model,2
Fast Food Maker,1
Fibre Winding Machine Operator,1
Fibreglass Machine Operator,1
Field Crop and Vegetable Grower,1
Filing Clerk,1
Finance Controller,3
Financial Accounting Affairs Director,3
Financial Advisor,3
Financial Analyst,1
Financial Auditor,3
Financial Officer,3
Finance Manager,3
Fire Fighter,1
Fire Fighter Instructor,1
Fire Investigator,1
Fish Cook,2
Fish Filleter,1
Fishermen,2
Fishmonger,1
Flight Attendant,1
Flight Instructor,1
Florist,1
Follow Up Clerk,1
Follow Up Manager,1
Food and Beverage Manager,1
Food Processing Machine Operator,1
Food Service Counter Attendant,1
Food Service Supervisor,1
Footwear Machine Operator,1
Foreign Currency Trader,3
Foreign Food Cook,2
Foreman,1
Forestry Labourer,1
Forestry Technician,1
Forklift Driver,1
Freight Forwarder,1
Freight Handler,1
Fruit and Vegetable Preserver,1
Fumigator,1
Furniture Upholsterer,1
Garbage Truck Driver,1
Garden Labourer,1
Garment and Pattern Cutter,1
Gas Fitter,1
Gas Station Attendant,1
General Medical Practitioner,1
Geographer,1
Geologist,1
Geology Technician,1
Glass and Ceramic Plant Operator,1
Glass Finisher,1
Glass Maker,1
Glazier,1
Goldsmiths,3
Government Licensing Official,2
Government Minister,3
Government Tax Official,2
Graphic and Multimedia Designer,2
Grave Digger,1
Grocer,2
Gunsmith,1
Gynaecologist,1
Hairdresser,2
Hairstylist,2
Hand Presser,1
Handicraft Knitter,1
Harvesting Machine Driver,1
Head Chef,2
Head Waiter,1
Health Affairs Director,3
Health and Safety Engineer,2
Health Care Assistant,1
Health Services Manager,1
Heavy Transportation Worker,2
Heavy Truck Driver,1
Henna Applicator,3
Holly Quran Reader,3
Horse Trainer,1
Horticulturist,1
Hospital Admissions Clerk,1
Hospital Director,3
Hospital Porter,1
Hotel Concierge,1
Hotel Manager,1
Hotel Receptionist,1
House Builder,1
Housekeeping Supervisor,1
Housewife,1
HR Director,2
Hunter,1
Hunting Dogs Trainer,1
Hunting Eagles Trainer,1
ICT Operations Technician,1
ICT Sales Representative,1
ICT Security Specialist,1
ICT Service Manager,1
ICT Trainer,1
